id,word_count,preview,response
R01,18,The checkout flow is smooth but shipping estimates were wron...,The checkout flow is smooth but shipping estimates were wrong twice. Still using it because returns are easy.
R02,22,I mostly use the app on the train. When the connection drops...,I mostly use the app on the train. When the connection drops the screen goes blank and I have to force quit.
R03,10,Strongly agree that search works well. Filters could be clea...,Strongly agree that search works well. Filters could be clearer.
R04,13,★★★★☆ Love the design. Hate that notifications turn back on...,★★★★☆ Love the design. Hate that notifications turn back on after every update.
R05,24,We tried onboarding three new hires last month and everyone...,We tried onboarding three new hires last month and everyone got stuck on the same permissions step. That was awkward in front of clients.
R06,18,Neutral on pricing. Would pay more if the family plan actual...,Neutral on pricing. Would pay more if the family plan actually covered shared playlists the way you advertise.
R07,13,Crashes when I attach more than three photos. On iOS 18. Ple...,Crashes when I attach more than three photos. On iOS 18. Please fix.
R08,17,I trust the recommendations less than I used to. Feels like...,I trust the recommendations less than I used to. Feels like the same five things rotate forever.
R09,15,The reminder emails are helpful. Too many though—maybe let m...,The reminder emails are helpful. Too many though—maybe let me pick weekly instead of daily.
R10,16,Fast. Simple. Exactly what I needed for expense reports unti...,Fast. Simple. Exactly what I needed for expense reports until it stopped syncing with my bank.
R11,18,Accessibility-wise the contrast in dark mode is rough for my...,Accessibility-wise the contrast in dark mode is rough for my vision. I use invert colors as a workaround.
R12,1,N/A,N/A
R13,16,Deleted after a week. Too many steps to do the one thing I d...,Deleted after a week. Too many steps to do the one thing I downloaded it for.
