id,width,height,photographer,photographer_id,photographer_url,avg_color,alt,photo_page_url,image_large_url,search_query,api_page
8657295,6601,4401,cottonbro studio,1437723,https://www.pexels.com/@cottonbro,#696564,"A female pharmacist arranging bottles in a classic pharmacy interior, captured indoors.",https://www.pexels.com/photo/female-pharmacist-getting-medicines-on-a-cabinet-8657295/,https://images.pexels.com/photos/8657295/pexels-photo-8657295.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,pharmacy stock photo,1
17604768,8192,5460,Beelith USA,640503077,https://www.pexels.com/@beelith,#8BA068,"Bright yellow pills scattered on a vibrant blue background, resembling a healthcare theme.",https://www.pexels.com/photo/close-up-of-pills-17604768/,https://images.pexels.com/photos/17604768/pexels-photo-17604768.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,pharmacy stock photo,1
13119976,6000,4000,Abdul batin,235375905,https://www.pexels.com/@abdul-batin-235375905,#A08E84,A pharmacist organizing medication on shelves in a pharmacy in Bangladesh.,https://www.pexels.com/photo/professional-pharmacist-in-modern-drugstore-space-for-text-13119976/,https://images.pexels.com/photos/13119976/pexels-photo-13119976.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,pharmacy stock photo,1
3683093,6000,4000,Anna Shvets,1984515,https://www.pexels.com/@shvetsa,#ED9EEE,Close-up of a blister pack containing red capsules on a vibrant purple background.,https://www.pexels.com/photo/seven-red-medicine-capsule-on-silver-pack-3683093/,https://images.pexels.com/photos/3683093/pexels-photo-3683093.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,pharmacy stock photo,1
3923155,4000,6000,cottonbro studio,1437723,https://www.pexels.com/@cottonbro,#A3908A,A close-up of hands near a pile of white tablets on a grey surface.,https://www.pexels.com/photo/white-round-medication-pills-3923155/,https://images.pexels.com/photos/3923155/pexels-photo-3923155.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,pharmacy stock photo,1
9667139,1824,2736,Semiha Deniz,3105605,https://www.pexels.com/@semihadeniz,#9E451D,"A vertical shot of orange pills in a glass container, representing healthcare and medication.",https://www.pexels.com/photo/pills-behind-glass-9667139/,https://images.pexels.com/photos/9667139/pexels-photo-9667139.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,pharmacy stock photo,1
4058367,6000,4000,Castorly Stock,1988778,https://www.pexels.com/@castorlystock,#B3AEAB,"Close-up of a hand in gloves holding a blister pack of pills, symbolizing medical care.",https://www.pexels.com/photo/person-holding-white-and-blue-medicine-tablet-4058367/,https://images.pexels.com/photos/4058367/pexels-photo-4058367.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,pharmacy stock photo,1
35576362,2688,4032,Amina,165508359,https://www.pexels.com/@amina-165508359,#182514,Bright green neon pharmacy sign glowing in the night. Urban street scene.,https://www.pexels.com/photo/illuminated-pharmacy-with-neon-sign-at-night-35576362/,https://images.pexels.com/photos/35576362/pexels-photo-35576362.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,pharmacy stock photo,1
360622,3888,2592,Pietro Jeng,13807,https://www.pexels.com/@pietrozj,#C3C9CF,A close-up of blue and white capsules spilling from a glass on a light background.,https://www.pexels.com/photo/depth-photography-of-blue-and-white-medication-pill-360622/,https://images.pexels.com/photos/360622/pexels-photo-360622.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,pharmacy stock photo,1
31480083,3840,5760,Alex Sanchez,2150797975,https://www.pexels.com/@alex-sanchez-2150797975,#685255,A woman browsing skincare products in a pharmacy in Belgrade.,https://www.pexels.com/photo/shopping-at-a-pharmacy-in-belgrade-serbia-31480083/,https://images.pexels.com/photos/31480083/pexels-photo-31480083.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,pharmacy stock photo,1
34612486,7463,4195,Ivan Chumak,13879179,https://www.pexels.com/@iohichu,#4D5854,"Berlin pharmacy sign with iconic logo during twilight, surrounded by trees.",https://www.pexels.com/photo/pharmacy-sign-in-berlin-at-twilight-34612486/,https://images.pexels.com/photos/34612486/pexels-photo-34612486.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,pharmacy stock photo,1
