row_kind,id,local_image,shape_category_headers,colour_category_headers,pill_drug_shapes,pill_shape_source,pill_drug_colours,pill_colour_source,alt_excerpt,avg_color_csv
image,8657295,pexels_8657295.jpg,Shape: No clear pill close-up,Colour: Gray,no_clear_pill_or_blister_subject,scene_not_pill_closeup,gray,avg_color_only_no_pill_clause,"A female pharmacist arranging bottles in a classic pharmacy interior, captured indoors.",#696564
image,17604768,pexels_17604768.jpg,Shape: Pills or tablets (general) | Shape: Loose or scattered pills,Colour: Yellow,loose_roundish_pills_generic;loose_scattered_pills,alt_text,yellow,alt_text,"Bright yellow pills scattered on a vibrant blue background, resembling a healthcare theme.",#8BA068
image,13119976,pexels_13119976.jpg,"Shape: Pill subject, shape unspecified",Colour: Orange,unspecified_pill_shape,pill_mentioned_shape_not_parsed,orange,image_center_crop,A pharmacist organizing medication on shelves in a pharmacy in Bangladesh.,#A08E84
image,3683093,pexels_3683093.jpg,Shape: Blister or foil pack | Shape: Oval or capsule,Colour: Red,blister_foil_pack;oval_or_capsule,alt_text,red,alt_text,Close-up of a blister pack containing red capsules on a vibrant purple background.,#ED9EEE
image,3923155,pexels_3923155.jpg,Shape: Pills or tablets (general) | Shape: Loose or scattered pills | Shape: Round flat tablets,Colour: White,loose_roundish_pills_generic;loose_scattered_pills;round_flat_tablets,alt_text,white,alt_text,A close-up of hands near a pile of white tablets on a grey surface.,#A3908A
image,9667139,pexels_9667139.jpg,Shape: Bottle or container | Shape: Pills or tablets (general),Colour: Orange,bottle_or_tub_container;loose_roundish_pills_generic,alt_text,orange,alt_text,"A vertical shot of orange pills in a glass container, representing healthcare and medication.",#9E451D
image,4058367,pexels_4058367.jpg,Shape: Blister or foil pack | Shape: Pills or tablets (general),Colour: Gray | Colour: Orange,blister_foil_pack;loose_roundish_pills_generic,alt_text,gray;orange,image_center_crop,"Close-up of a hand in gloves holding a blister pack of pills, symbolizing medical care.",#B3AEAB
image,35576362,pexels_35576362.jpg,Shape: No clear pill close-up,Colour: Black,no_clear_pill_or_blister_subject,scene_not_pill_closeup,black,avg_color_only_no_pill_clause,Bright green neon pharmacy sign glowing in the night. Urban street scene.,#182514
image,360622,pexels_360622.jpg,Shape: Oval or capsule,Colour: Blue | Colour: White,oval_or_capsule,alt_text,blue;white,alt_text,A close-up of blue and white capsules spilling from a glass on a light background.,#C3C9CF
image,31480083,pexels_31480083.jpg,Shape: No clear pill close-up,Colour: Red,no_clear_pill_or_blister_subject,scene_not_pill_closeup,red,avg_color_only_no_pill_clause,A woman browsing skincare products in a pharmacy in Belgrade.,#685255
image,34612486,pexels_34612486.jpg,Shape: No clear pill close-up,Colour: Gray,no_clear_pill_or_blister_subject,scene_not_pill_closeup,gray,avg_color_only_no_pill_clause,"Berlin pharmacy sign with iconic logo during twilight, surrounded by trees.",#4D5854
